Opcode(bin)	Opcode	Instruction		Bytes	Cycles
--------------------------------------------------------------
00000000	00	NOP			1	1
00000001	01	AJMP addr11		2	2
00000010	02	LJMP addr16		3	2
00000011	03	RR A			1	1
00000100	04	INC A			1	1
00000101	05	INC direct		2	1
00000110	06	INC @R0			1	1
00000111	07	INC @R1			1	1
00001000	08	INC R0			1	1
00001001	09	INC R1			1	1
00001010	0A	INC R2			1	1
00001011	0B	INC R3			1	1
00001100	0C	INC R4			1	1
00001101	0D	INC R5			1	1
00001110	0E	INC R6			1	1
00001111	0F	INC R7			1	1
00010000	10	JBC bitaddr,reladdr	3	2
00010001	11	ACALL addr11		2	2
00010010	12	LCALL addr16		3	2
00010011	13	RRC A			1	1
00010100	14	DEC A			1	1
00010101	15	DEC direct		2	1
00010110	16	DEC @R0			1	1
00010111	17	DEC @R1			1	1
00011000	18	DEC R0			1	1
00011001	19	DEC R1			1	1
00011010	1A	DEC R2			1	1
00011011	1B	DEC R3			1	1
00011100	1C	DEC R4			1	1
00011101	1D	DEC R5			1	1
00011110	1E	DEC R6			1	1
00011111	1F	DEC R7			1	1
00100000	20	JB bitaddr,reladdr	3	2
00100001	21	AJMP addr11		2	2	
00100010	22	RET			1	2
00100011	23	RL A			1	1
00100100	24	ADD A,#data		2	1
00100101	25	ADD A,direct		2	1
00100110	26	ADD A,@R0		1	1
00100111	27	ADD A,@R1		1	1
00101000	28	ADD A,R0		1	1
00101001	29	ADD A,R1		1	1
00101010	2A	ADD A,R2		1	1
00101011	2B	ADD A,R3		1	1
00101100	2C	ADD A,R4		1	1
00101101	2D	ADD A,R5		1	1
00101110	2E	ADD A,R6		1	1
00101111	2F	ADD A,R7		1	1
00110000	30	JNB bitaddr,reladdr	3	2
00110001	31	ACALL addr11		2	2
00110010	32	RETI			1	2
00110011	33	RLC A			1	1
00110100	34	ADDC A,#data		2	1
00110101	35	ADDC A,direct		2	1
00110110	36	ADDC A,@R0		1	1
00110111	37	ADDC A,@R1		1	1
00111000	38	ADDC A,R0		1	1
00111001	39	ADDC A,R1		1	1
00111010	3A	ADDC A,R2		1	1
00111011	3B	ADDC A,R3		1	1
00111100	3C	ADDC A,R4		1	1
00111101	3D	ADDC A,R5		1	1
00111110	3E	ADDC A,R6		1	1
00111111	3F	ADDC A,R7		1	1
01000000	40	JC reladdr		2	2
01000001	41	AJMP addr11		2	2	
01000010	42	ORL direct,A		2	1
01000011	43	ORL direct,#data	3	2
01000100	44	ORL A,#data		2	1
01000101	45	ORL A,direct		2	1
01000110	46	ORL A,@R0		1	1
